Comparison,Metric,Log Skewness Group1,Log Skewness Group2,T-test p-value (log),Mann-Whitney U test p-value,Effect size (Cohen's d),Group1 count,Group1 mean,Group1 std,Group1 min,Group1 25%,Group1 50%,Group1 75%,Group1 max,Group2 count,Group2 mean,Group2 std,Group2 min,Group2 25%,Group2 50%,Group2 75%,Group2 max
NK-R102_vs_NK-R38,doublets,1.656709146240398,0.9578952855902044,0.20465765705702646,0.12960331181685958,0.008426164360920273,200.0,103.47,173.06439705392367,21.0,38.75,51.5,89.0,1185.0,198.0,102.24242424242425,111.39590446308637,20.0,41.0,58.0,103.0,696.0
NK-R102_vs_NK-R38,fill_factor_Score,8.60705723265124,1.2064584079902236,0.21176945106247208,0.5155358675074613,0.1266856420409313,200.0,0.00606461882703637,0.01775310872708385,0.0,0.0,0.0,0.010000000000000009,0.2191780821917808,198.0,0.004378863547486694,0.0061283180445132,0.0,0.0,0.0,0.010000000000000009,0.030000000000000027
NK-R102_vs_NK-R38,total_droplets,-10.276621322491675,-2.568360102369381,1.3665733441311828e-06,4.5921540220771024e-20,-0.6574737167361228,200.0,22582.865,1573.0708842290117,5857.0,22373.0,22849.0,23286.25,24449.0,198.0,23404.883838383837,801.5854731105992,18451.0,23168.0,23566.0,23891.5,24554.0
NK-R104_vs_NK-R38,doublets,1.1851180576668325,0.9578952855902044,0.11745282122409992,0.12361787015096426,-0.11442699508039295,199.0,89.87437185929649,104.69073886704444,16.0,38.5,50.0,99.0,650.0,198.0,102.24242424242425,111.39590446308637,20.0,41.0,58.0,103.0,696.0
NK-R104_vs_NK-R38,fill_factor_Score,10.873363743074227,1.2064584079902236,0.9231860346872256,0.027319101195791968,0.017909284072709215,199.0,0.004615924525741473,0.017668400152900877,0.0,0.0,0.0,0.010000000000000009,0.234375,198.0,0.004378863547486694,0.0061283180445132,0.0,0.0,0.0,0.010000000000000009,0.030000000000000027
NK-R104_vs_NK-R38,total_droplets,-6.853585153795568,-2.568360102369381,5.071297074688544e-18,7.679705464958986e-36,-1.0509150869302564,199.0,22301.13567839196,1249.5131927563386,10694.0,22065.0,22569.0,22906.0,24065.0,198.0,23404.883838383837,801.5854731105992,18451.0,23168.0,23566.0,23891.5,24554.0
NK-R102_vs_NK-R104,doublets,1.656709146240398,1.1851180576668325,0.7978197450040949,0.9228727109441012,0.09500318292425096,200.0,103.47,173.06439705392367,21.0,38.75,51.5,89.0,1185.0,199.0,89.87437185929649,104.69073886704444,16.0,38.5,50.0,99.0,650.0
NK-R102_vs_NK-R104,fill_factor_Score,8.60705723265124,10.873363743074227,0.3777031071370681,0.12491225252126932,0.08179670929312663,200.0,0.00606461882703637,0.01775310872708385,0.0,0.0,0.0,0.010000000000000009,0.2191780821917808,199.0,0.004615924525741473,0.017668400152900877,0.0,0.0,0.0,0.010000000000000009,0.234375
NK-R102_vs_NK-R104,total_droplets,-10.276621322491675,-6.853585153795568,0.24732368472592525,9.929406179336572e-06,0.19826981228039525,200.0,22582.865,1573.0708842290117,5857.0,22373.0,22849.0,23286.25,24449.0,199.0,22301.13567839196,1249.5131927563386,10694.0,22065.0,22569.0,22906.0,24065.0
NK-R102_vs_NK-R84,doublets,1.656709146240398,0.5193516468273627,5.55164629600015e-15,3.205988936640331e-17,-0.46434187291923823,200.0,103.47,173.06439705392367,21.0,38.75,51.5,89.0,1185.0,199.0,194.41708542713567,216.36844723558724,22.0,70.5,108.0,215.5,1378.0
NK-R102_vs_NK-R84,fill_factor_Score,8.60705723265124,3.1911881239043893,0.0678431547591099,0.012137976938819411,-0.17343312366153024,200.0,0.00606461882703637,0.01775310872708385,0.0,0.0,0.0,0.010000000000000009,0.2191780821917808,199.0,0.009018898596771985,0.01627952562584565,0.0,0.0,0.0,0.010101010101010166,0.10999999999999999
NK-R102_vs_NK-R84,total_droplets,-10.276621322491675,-2.42941707118251,0.0017238260861100127,3.1123759015206146e-16,0.47588872836280455,200.0,22582.865,1573.0708842290117,5857.0,22373.0,22849.0,23286.25,24449.0,199.0,21921.75376884422,1175.80940730049,15652.0,21567.5,22155.0,22631.5,23897.0
NK-R104_vs_NK-R84,doublets,1.1851180576668325,0.5193516468273627,2.0531759502202528e-16,5.408384846722825e-17,-0.615087748167934,199.0,89.87437185929649,104.69073886704444,16.0,38.5,50.0,99.0,650.0,199.0,194.41708542713567,216.36844723558724,22.0,70.5,108.0,215.5,1378.0
NK-R104_vs_NK-R84,fill_factor_Score,10.873363743074227,3.1911881239043893,0.006253915670118211,7.743377662802028e-05,-0.2591789497897059,199.0,0.004615924525741473,0.017668400152900877,0.0,0.0,0.0,0.010000000000000009,0.234375,199.0,0.009018898596771985,0.01627952562584565,0.0,0.0,0.0,0.010101010101010166,0.10999999999999999
NK-R104_vs_NK-R84,total_droplets,-6.853585153795568,-2.42941707118251,0.00844827835084961,8.375383006556575e-07,0.31270631767336704,199.0,22301.13567839196,1249.5131927563386,10694.0,22065.0,22569.0,22906.0,24065.0,199.0,21921.75376884422,1175.80940730049,15652.0,21567.5,22155.0,22631.5,23897.0
