circuit_uuid,exp_id,run_uuid,chip_id,chip_ver,chip_idx,cir_idx,cir_ver,cir_vers,overall_idx,curated,media_conc,dry,antibiotic,atc_code,sample_type,contrival,sample_prep,sample_prep_ver,specimen,strain_id,strain_conc,txid,fatal,nonfatal,intv,reaction,fill_type,fill_ver,operator,started,instrument,run_id,imported,date,antibiotic_conc,cir_col,cir_row,cir_side,test_module,position,doublets,excluded,fill_factor_final,fill_factor_initial,included,neg,neg_0,neg_1,pos_0,pos_0_inc,pos_1,pos_1_inc,total_droplets
1a98c2ab-487a-42a8-b290-74a798e905be,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,0,None,None,0,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R38,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,1,A,fenrir,front,57,1584,1,1,21551,21061,21061,21551,506,490,0,0,23135
79ac9af0-279b-4424-a6ca-80121c653d43,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,1,None,None,1,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R38,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,2,A,fenrir,front,48,1137,1,1,20894,20416,20416,20894,485,478,0,0,22031
6920caef-ddfb-4202-96fd-282541fa73b7,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,2,None,None,2,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R38,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,3,A,fenrir,front,34,1671,1,1,22497,22046,22046,22497,459,451,0,0,24168
cb9f207f-099a-48f8-9053-d681e4f73cf5,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,3,None,None,3,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R38,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,4,A,fenrir,front,42,1119,1,1,20462,19957,19957,20462,508,505,0,0,21581
c6409fd6-b632-452e-8c25-aff70e5f120c,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,4,None,None,4,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R38,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,5,A,fenrir,front,51,1701,1,1,21401,20914,20914,21401,515,487,0,0,23102
859f7483-b2aa-483f-be94-3cd8f0b7301a,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,5,None,None,5,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R84,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,6,A,fenrir,front,124,1364,1,1,20955,20489,20489,20955,486,466,0,0,22319
31e0ab64-de5f-4ff8-bc08-be6714e443cb,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,6,None,None,6,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R84,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,7,A,fenrir,front,395,1513,0.98,0.99,19084,18757,18757,19084,343,327,0,0,20597
4dd7a059-d9cc-4810-83ae-5d3dc13b590b,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,7,None,None,7,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R84,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,8,A,fenrir,front,185,1528,0.99,0.99,20179,19755,19755,20179,435,424,0,0,21707
28761b90-74b0-4431-9a9d-8dce40bd202f,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,8,None,None,8,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R84,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,9,A,fenrir,front,453,1930,0.98,1,19928,19566,19566,19928,382,362,0,0,21858
9123377b-66b3-45e8-ab57-adaf9b913f14,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,9,None,None,9,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R84,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,A,10,A,fenrir,front,110,1304,1,1,20441,19934,19934,20441,511,507,0,0,21745
bf79ef05-cb56-4c53-b7a9-819e09a32a7c,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,10,None,None,10,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R102,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,B,1,B,fenrir,front,41,1545,1,1,21594,21122,21122,21594,472,472,0,0,23139
e1259550-5ef6-44fc-95ab-cf207cb96571,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,11,None,None,11,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R102,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,B,2,B,fenrir,front,32,1463,1,1,21198,20750,20750,21198,450,448,0,0,22661
499a2191-bf4f-466b-91d0-fbc0116dee3b,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,12,None,None,12,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R102,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,B,3,B,fenrir,front,35,1492,1,1,22192,21684,21684,22192,511,508,0,0,23684
49546656-bac9-4bb9-8903-057597c9b13c,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,13,None,None,13,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R102,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,B,4,B,fenrir,front,37,1581,1,1,21467,20934,20934,21467,536,533,0,0,23048
f7ce20e6-57f9-409e-ad4d-a51c59447aab,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,14,None,None,14,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R102,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,B,5,B,fenrir,front,38,1594,1,1,20839,20321,20321,20839,519,518,0,0,22433
efddaa18-904e-4c9f-b1e9-cff9fe2f3113,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,15,None,None,15,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R104,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,B,6,B,fenrir,front,43,1094,1,1,19988,19500,19500,19988,489,488,0,0,21082
df3b97f9-732e-4547-811c-e463cbc117c4,EXP-VGXT8LA5,10ab869d-6439-44be-9013-025905656caf,VF6J7L4S,v4,0,16,None,None,16,FALSE,100,dry,None,None,patient_bal,None,New prep,,LR-S007-0528,None,None,None,None,None,None,NK-R104,None,None,nicole@pattern.bio,2024-06-13T07:44:00.996000-05:00,fenrir,None,None,6/13/2024,0,B,7,B,fenrir,front,46,1486,1,1,20771,20400,20400,20771,410,371,0,0,22257
