City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.34,88,46,1.79,NZ,1718828878
1,adamstown,-25.066,-130.1015,22.05,74,0,8.43,PN,1718828878
2,tiksi,71.6872,128.8694,2.16,83,94,1.53,RU,1718828878
3,ta`u,-14.2336,-169.5144,27.32,81,40,7.79,AS,1718828879
4,chonchi,-42.6128,-73.8092,6.73,83,78,1.56,CL,1718828879
5,hithadhoo,-0.6,73.0833,28.42,71,68,2.54,MV,1718828879
6,whitehorse,60.7161,-135.0538,22.28,29,20,3.6,CA,1718828880
7,puerto natales,-51.7236,-72.4875,-5.75,86,20,0.0,CL,1718828560
8,remire-montjoly,4.9167,-52.2667,31.02,66,20,3.6,GF,1718828880
9,sungai penuh,-2.0833,101.3833,18.39,97,84,1.91,ID,1718828881
10,barinas,8.6226,-70.2075,28.96,71,58,3.23,VE,1718828836
11,flin flon,54.7682,-101.865,16.91,36,75,8.23,CA,1718828881
12,fallon,39.4735,-118.7774,25.93,14,40,3.09,US,1718828882
13,sagua la grande,22.8067,-80.0756,24.55,64,70,6.77,CU,1718828882
14,yatou,37.15,122.3833,18.6,91,29,2.69,CN,1718828882
15,pangoa,-12.1167,-73.0,24.56,82,91,1.52,PE,1718828883
16,bredasdorp,-34.5322,20.0403,10.95,78,58,1.7,ZA,1718828883
17,iqaluit,63.7506,-68.5145,1.85,93,100,5.66,CA,1718828884
18,colonia,50.9333,6.95,17.68,87,0,1.54,DE,1718828884
19,papatowai,-46.5619,169.4708,8.13,80,99,6.03,NZ,1718828884
20,orlovskiy,46.8714,42.0592,23.08,52,0,3.39,RU,1718828885
21,grytviken,-54.2811,-36.5092,-6.37,65,36,2.15,GS,1718828885
22,tsiombe,-25.3,45.4833,19.68,83,0,1.19,MG,1718828885
23,daru,-9.0763,143.2092,24.63,80,100,7.21,PG,1718828886
24,pechora,65.1472,57.2244,11.06,62,92,2.56,RU,1718828886
25,tura,25.5198,90.2201,23.05,98,100,2.72,IN,1718828886
26,griffith,41.5284,-87.4237,35.03,48,40,7.0,US,1718828886
27,mejit,10.2753,170.8646,28.0,80,99,7.93,MH,1718828887
28,wailua homesteads,22.0669,-159.378,28.24,85,100,7.72,US,1718828887
29,pathein,16.7833,94.7333,26.1,90,95,3.13,MM,1718828888
30,sao felix do xingu,-6.6447,-51.995,33.33,35,35,2.43,BR,1718828888
31,udachny,66.4167,112.4,11.8,61,94,3.35,RU,1718828888
32,port-aux-francais,-49.35,70.2167,4.13,94,100,11.77,TF,1718828888
33,taoudenni,22.6783,-3.9836,42.25,9,51,4.89,ML,1718828889
34,limon,10.0,-83.0333,28.94,79,100,4.12,CR,1718828890
35,yuzhno-kurilsk,44.0306,145.8556,11.08,83,51,0.19,RU,1718828890
36,albany,42.6001,-73.9662,33.23,69,100,0.45,US,1718828890
37,egilsstadir,65.2653,-14.3948,2.95,93,100,4.63,IS,1718828890
38,nizhniy odes,63.6445,54.856,13.34,67,100,3.96,RU,1718828891
39,bei'an,24.5399,109.533,24.37,99,100,0.63,CN,1718828891
40,iskateley,67.6803,53.1512,7.59,57,100,6.09,RU,1718828891
41,georgetown,5.4112,100.3354,26.96,88,20,1.54,MY,1718828593
42,anadyr,64.75,177.4833,5.28,80,75,1.0,RU,1718828892
43,hamilton,39.1834,-84.5333,33.3,63,0,3.6,US,1718828615
44,yellowknife,62.456,-114.3525,18.01,48,75,6.17,CA,1718828893
45,college,64.8569,-147.8028,21.36,50,75,0.45,US,1718828893
46,nguigmi,14.2495,13.1092,31.85,42,6,2.83,NE,1718828893
47,luderitz,-26.6481,15.1594,15.12,66,0,5.01,NA,1718828894
48,west island,-12.1568,96.8225,25.99,94,75,10.8,CC,1718828894
49,minas de marcona,-15.2119,-75.1103,17.94,55,8,6.11,PE,1718828894
50,olonkinbyen,70.9221,-8.7187,0.85,99,100,6.91,SJ,1718828895
51,touros,-5.1989,-35.4608,25.32,87,6,5.63,BR,1718828895
52,edinburgh of the seven seas,-37.0676,-12.3116,14.0,88,98,5.08,SH,1718828896
53,tromso,69.6496,18.957,10.01,81,100,11.32,NO,1718828896
54,blackmans bay,-43.0167,147.3167,7.63,94,97,2.55,AU,1718828896
55,aykhal,66.0,111.5,10.13,63,55,3.04,RU,1718828897
56,hilo,19.7297,-155.09,26.81,75,40,0.45,US,1718828897
57,pocito,-31.6833,-68.5833,14.93,48,0,4.26,AR,1718828897
58,cartagena,10.3997,-75.5144,29.79,74,40,3.09,CO,1718828888
59,flying fish cove,-10.4217,105.6791,25.82,73,75,7.2,CX,1718828898
60,sisimiut,66.9395,-53.6735,5.47,80,79,2.62,GL,1718828898
61,san antonio de pale,-1.4014,5.6325,24.52,91,100,5.67,GQ,1718828899
62,tolanaro,-25.0319,46.9987,21.04,83,20,9.26,MG,1718828899
63,longyearbyen,78.2186,15.6401,6.91,57,75,10.29,SJ,1718828899
64,brindisi,40.5833,17.6667,28.22,33,0,2.33,IT,1718828899
65,ushuaia,-54.8,-68.3,-0.19,74,75,7.2,AR,1718828715
66,mahina,-17.5065,-149.489,25.87,57,20,2.06,PF,1718828900
67,bagasra,21.4833,70.95,29.06,73,7,5.13,IN,1718828901
68,crane,31.3974,-102.3501,32.33,38,9,10.63,US,1718828901
69,port mathurin,-19.6833,63.4167,23.85,64,29,9.76,MU,1718828901
70,oakdale,44.963,-92.9649,22.55,62,20,5.66,US,1718828747
71,bilibino,68.0546,166.4372,15.1,46,20,2.53,RU,1718828902
72,port lincoln,-34.7333,135.8667,11.27,87,100,10.14,AU,1718828903
73,santa cruz,-17.8,-63.1667,25.7,78,75,8.23,BO,1718828903
74,inyonga,-6.7167,32.0667,21.46,47,62,2.17,TZ,1718828904
75,najran,17.4924,44.1277,28.36,33,8,2.26,SA,1718828904
76,avarua,-21.2078,-159.775,26.03,61,91,3.6,CK,1718828905
77,vilyuysk,63.7553,121.6247,9.71,82,51,3.41,RU,1718828905
78,cabo san lucas,22.8909,-109.9124,34.78,29,0,3.6,MX,1718828670
79,lakheri,25.6667,76.1667,33.84,47,25,7.97,IN,1718828906
80,huarmey,-10.0681,-78.1522,20.42,75,76,4.6,PE,1718828906
81,uturoa,-16.7333,-151.4333,25.19,62,27,5.29,PF,1718828906
82,chos malal,-37.3781,-70.2709,8.35,51,93,1.84,AR,1718828907
83,sumbe,-11.2061,13.8437,20.61,91,3,3.13,AO,1718828907
84,isafjordur,66.0755,-23.124,4.06,69,100,2.85,IS,1718828907
85,shira,54.4911,89.9531,7.22,80,45,3.18,RU,1718828908
86,sarandi del yi,-33.35,-55.6333,18.27,76,20,3.1,UY,1718828908
87,puerto ayora,-0.7393,-90.3518,26.98,96,91,2.68,EC,1718828909
88,afaahiti,-17.75,-149.2833,24.93,63,39,5.19,PF,1718828909
89,ugoofaaru,5.6667,73.0,28.69,78,100,7.11,MV,1718828909
90,invercargill,-46.4,168.35,3.9,83,94,1.34,NZ,1718828910
91,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,93,100,0.0,RU,1718828910
92,mogocha,53.7333,119.7667,6.39,88,12,1.12,RU,1718828911
93,wynyard,-41.0,145.7167,5.07,81,5,2.21,AU,1718828911
94,punta arenas,-53.15,-70.9167,-2.94,80,40,2.06,CL,1718828876
95,auki,-8.7676,160.7034,24.85,90,100,2.13,SB,1718828912
96,phan rang-thap cham,11.5667,108.9833,26.11,84,100,1.2,VN,1718828912
97,lospalos,-8.5186,127.0025,20.55,93,92,2.71,TL,1718828912
98,atafu village,-8.5421,-172.5159,28.95,77,28,6.78,TK,1718828913
99,oruro,-17.9833,-67.15,14.27,31,40,4.63,BO,1718828913
100,bozuyuk,39.9078,30.0367,22.16,69,100,1.75,TR,1718828914
101,kismayo,-0.3582,42.5454,25.83,85,11,5.84,SO,1718828914
102,pasni,25.2631,63.471,29.57,78,66,5.21,PK,1718828914
103,al mayadin,35.0209,40.4535,38.33,10,0,3.85,SY,1718828915
104,caiaponia,-16.9567,-51.8103,28.47,25,0,3.07,BR,1718828915
105,ribeira grande,38.5167,-28.7,21.22,64,20,3.09,PT,1718828915
106,alofi,-19.0595,-169.9187,25.94,83,7,2.06,NU,1718828916
107,tofol,5.3248,163.0078,28.13,78,20,4.53,FM,1718828916
108,nantucket,41.2835,-70.0995,26.16,82,0,6.69,US,1718828917
109,bethel,41.3712,-73.414,34.08,63,20,4.63,US,1718828641
110,argo,37.6333,22.7333,27.1,40,0,2.98,GR,1718828917
111,saint-philippe,-21.3585,55.7679,20.77,77,46,4.69,RE,1718828918
112,congonhas,-20.4997,-43.8578,21.13,48,0,1.36,BR,1718828918
113,lorengau,-2.0226,147.2712,26.97,81,100,4.38,PG,1718828918
114,saint-mandrier-sur-mer,43.078,5.929,25.8,69,0,1.03,FR,1718828919
115,weno,7.4515,151.8468,27.97,83,100,3.09,FM,1718828919
116,amarillo,35.222,-101.8313,26.88,59,0,7.72,US,1718828903
117,noyabrsk,63.1994,75.4507,1.3,77,7,3.21,RU,1718828920
118,carbonear,47.7332,-53.2148,23.19,77,100,1.67,CA,1718828920
119,san andres,12.5847,-81.7006,29.01,79,40,5.14,CO,1718828731
120,thunder bay,48.4001,-89.3168,20.95,49,75,6.69,CA,1718828921
121,la passe,45.5549,-0.8967,20.13,90,0,2.68,FR,1718828921
122,tralee,52.2704,-9.7026,12.41,81,56,0.98,IE,1718828922
123,fortuna,40.5982,-124.1573,21.63,69,0,4.63,US,1718828751
124,saint-joseph,-21.3667,55.6167,20.21,75,19,5.09,RE,1718828922
125,coquimbo,-29.9533,-71.3436,16.1,62,0,5.14,CL,1718828923
126,makurazaki,31.2667,130.3167,20.23,96,100,9.34,JP,1718828923
127,thompson,55.7435,-97.8558,12.09,66,100,5.14,CA,1718828923
128,mount pearl,47.5166,-52.7813,22.47,67,75,4.12,CA,1718828924
129,ivdel',60.6911,60.4206,12.89,79,100,1.86,RU,1718828924
130,badger,64.8,-147.5333,21.87,45,20,0.0,US,1718828924
131,malard,35.6659,50.9767,28.1,53,0,8.23,IR,1718828925
132,hawaiian paradise park,19.5933,-154.9731,26.69,75,40,0.89,US,1718828925
133,caleta de carquin,-11.0925,-77.6267,19.22,77,100,4.31,PE,1718828925
134,greymouth,-42.4667,171.2,3.97,85,94,4.01,NZ,1718828901
135,shuangjiang,26.1547,109.7138,23.02,96,100,3.05,CN,1718828927
136,cidreira,-30.1811,-50.2056,18.44,98,62,5.19,BR,1718828928
137,port alfred,-33.5906,26.891,14.32,82,17,5.44,ZA,1718828928
138,nouadhibou,20.931,-17.0347,23.99,64,61,8.23,MR,1718828928
139,stanley,54.868,-1.6985,15.77,69,20,4.63,GB,1718828929
140,sorsk,54.0033,90.2467,5.78,89,64,2.25,RU,1718828929
141,hood river,45.7054,-121.5215,27.97,31,0,2.68,US,1718828929
142,waingapu,-9.6567,120.2641,21.71,84,17,3.88,ID,1718828930
143,kapa'a,22.0752,-159.319,28.99,85,100,7.72,US,1718828930
144,baglung,28.2719,83.5898,20.11,78,3,1.76,NP,1718828930
145,lerwick,60.1545,-1.1494,12.0,82,100,12.15,GB,1718828931
146,lihue,21.9789,-159.3672,28.58,81,100,7.72,US,1718828931
