EngSize,Age,Gender,Marital,exp,Owner,vAge,Garage,AntiTFD,import,Loss
2,56,M,married,20,company,10,Y,Y,Imported,0
1.8,41,M,married,20,company,9,Y,N,Domestic,0
2,44,M,unmarried,20,company,8,Y,Y,Domestic,0
1.6,56,M,married,20,company,7,Y,Y,Domestic,0
1.8,45,M,married,20,company,7,N,N,Domestic,0
1.8,40,M,married,20,company,7,Y,N,Domestic,0
1.8,54,M,married,20,company,6,N,N,Domestic,0
1.8,54,M,married,20,company,6,Y,N,Imported,0
1.8,45,M,married,20,government,6,N,N,Domestic,0
2,43,M,married,20,company,6,Y,N,Imported,288
1.8,40,M,married,20,company,6,Y,N,Domestic,0
1.6,50,M,married,20,government,5,N,Y,Imported,0
2.4,56,M,married,20,company,4,Y,Y,Imported,0
1.6,46,M,married,20,company,4,Y,N,Domestic,0
1.8,39,M,married,20,company,4,Y,N,Domestic,0
1.8,41,M,married,20,government,3,Y,N,Domestic,0
1.8,41,M,married,20,government,2,Y,N,Domestic,0
1.8,38,M,married,20,company,2,Y,N,Domestic,0
1.8,57,M,married,20,personal,1,Y,N,Domestic,0
2,49,M,married,20,personal,1,Y,N,Domestic,0
2,49,M,married,20,government,1,N,N,Domestic,0
2,45,M,married,20,personal,1,Y,N,Domestic,0
1.8,44,M,married,20,personal,1,Y,Y,Domestic,0
1.8,43,M,married,20,company,1,Y,N,Domestic,0
1.8,42,M,married,20,personal,1,Y,N,Domestic,224
1.8,41,M,married,20,company,1,Y,N,Domestic,0
1.8,41,M,married,20,personal,1,Y,N,Imported,0
1.8,40,M,married,20,personal,1,Y,N,Domestic,256
1.8,47,M,married,19,company,9,Y,N,Domestic,0
3,43,M,married,19,company,9,Y,N,Imported,0
1.6,40,M,married,19,company,9,Y,N,Domestic,0
1.8,50,M,married,19,company,8,N,Y,Imported,0
2,41,M,married,19,company,8,Y,N,Imported,0
1.8,47,M,married,19,company,7,Y,N,Domestic,0
1.8,48,M,married,19,company,5,Y,N,Imported,0
1.8,46,M,married,19,company,5,Y,N,Domestic,0
1.8,40,M,married,19,company,5,N,N,Domestic,0
1.6,44,M,married,19,personal,4,Y,N,Domestic,0
1.8,39,M,married,19,company,4,Y,N,Domestic,0
2,41,M,married,19,personal,3,Y,N,Imported,0
1.6,40,M,married,19,personal,3,Y,N,Domestic,0
2,52,M,married,19,company,2,Y,N,Domestic,0
1.2,54,M,married,19,company,1,Y,N,Domestic,240
2,49,M,married,19,government,1,Y,N,Imported,0
2,45,M,married,19,personal,1,Y,N,Domestic,0
1.8,44,M,married,19,personal,1,Y,N,Domestic,0
3,44,M,married,19,government,1,Y,N,Imported,328
1,43,M,married,19,company,1,N,N,Domestic,0
1.8,41,M,married,19,company,1,Y,N,Domestic,2032
1.8,41,M,married,19,personal,1,Y,N,Domestic,4377.4
1.8,40,M,married,19,personal,1,Y,N,Imported,0
2,40,M,married,19,company,1,Y,N,Domestic,0
2,40,M,married,19,personal,1,Y,N,Imported,0
2.2,38,M,married,19,personal,1,Y,N,Imported,0
1.8,41,M,married,18,company,10,Y,N,Domestic,0
1.6,47,M,married,18,company,7,Y,N,Domestic,0
1.8,46,M,married,18,personal,7,Y,N,Domestic,0
1.8,44,M,married,18,government,7,Y,N,Domestic,0
2,42,M,married,18,company,7,Y,N,Imported,0
2.2,41,M,married,18,government,7,Y,N,Imported,0
1.8,52,M,married,18,company,6,Y,N,Domestic,0
1.8,48,M,married,18,government,6,Y,Y,Domestic,0
1.6,44,M,married,18,company,6,Y,N,Domestic,3636
1.6,41,M,married,18,company,6,Y,Y,Domestic,0
1,47,M,married,18,government,5,Y,N,Domestic,0
1.8,46,M,married,18,government,5,Y,N,Domestic,0
2,40,M,married,18,company,5,Y,Y,Imported,0
1.8,47,M,married,18,government,4,Y,N,Domestic,0
1.8,42,M,married,18,company,4,Y,N,Domestic,0
1.2,39,M,married,18,government,4,Y,N,Domestic,0
1.8,39,M,married,18,government,4,Y,Y,Imported,0
1.8,48,M,married,18,company,3,Y,N,Domestic,0
1.8,47,M,married,18,personal,3,Y,N,Domestic,0
1.6,44,M,married,18,government,3,Y,N,Domestic,0
1.6,37,M,married,18,government,3,Y,Y,Domestic,0
1.8,44,M,married,18,government,2,Y,N,Domestic,0
1.6,41,M,married,18,personal,2,Y,N,Domestic,218
1.8,41,M,married,18,company,2,Y,Y,Domestic,0
2.2,38,M,married,18,company,2,N,N,Imported,0
1.8,53,M,married,18,personal,1,Y,N,Domestic,0
1.8,50,M,married,18,company,1,Y,N,Domestic,0
1,48,M,married,18,personal,1,Y,N,Domestic,0
2,48,M,married,18,government,1,Y,N,Domestic,2229.3
1.3,47,M,married,18,personal,1,Y,Y,Domestic,0
1.8,45,M,married,18,personal,1,Y,N,Imported,320
1.6,44,M,married,18,personal,1,Y,N,Domestic,0
1.8,42,M,married,18,company,1,N,N,Domestic,0
1.6,41,M,married,18,company,1,Y,N,Imported,0
1.8,41,M,married,18,government,1,Y,N,Domestic,616
2.5,40,M,married,18,personal,1,Y,N,Imported,0
1.8,39,M,married,18,government,1,Y,N,Domestic,0
2,39,M,married,18,government,1,Y,N,Domestic,0
1.8,38,M,married,18,personal,1,Y,Y,Imported,0
1.8,37,M,married,18,company,1,Y,Y,Imported,0
1.6,47,M,married,17,government,10,Y,N,Domestic,3007.1
1.8,41,M,married,17,company,10,Y,N,Domestic,0
2,38,M,married,17,company,9,N,N,Domestic,4696
1.8,36,M,married,17,government,9,Y,N,Imported,0
1.8,41,M,married,17,personal,8,Y,N,Domestic,0
1.6,51,M,married,17,company,7,Y,N,Domestic,0
3,45,M,married,17,company,7,Y,N,Imported,0
2,44,M,married,17,company,7,Y,N,Domestic,0
1.8,41,M,married,17,government,7,Y,N,Domestic,0
1.8,47,M,married,17,company,6,N,N,Domestic,0
2.2,45,M,married,17,company,6,Y,N,Domestic,0
1.8,43,M,married,17,personal,6,N,N,Domestic,17166
2,36,M,married,17,government,6,N,N,Imported,0
1.8,58,M,married,17,personal,5,N,N,Domestic,0
2,48,M,married,17,company,5,N,N,Imported,0
1.8,46,M,married,17,company,5,N,N,Imported,0
1.8,44,M,married,17,government,5,Y,N,Domestic,2560
2,44,M,married,17,government,5,Y,N,Domestic,0
1.8,40,M,married,17,government,5,Y,N,Domestic,0
1.6,39,M,married,17,government,5,Y,N,Domestic,0
1.8,38,M,married,17,company,5,Y,Y,Domestic,0
2.2,53,M,married,17,personal,4,Y,N,Domestic,0
1.8,47,M,married,17,personal,4,Y,N,Domestic,2200
1.8,46,M,married,17,government,4,Y,N,Domestic,0
2,44,M,married,17,government,4,Y,N,Imported,0
1.8,43,M,married,17,company,4,N,N,Domestic,0
1.8,40,M,married,17,company,4,N,N,Imported,0
1.8,40,M,married,17,personal,4,Y,Y,Domestic,0
1.8,38,M,married,17,personal,4,Y,N,Domestic,0
1.8,37,M,married,17,company,4,Y,N,Domestic,0
1.8,50,M,married,17,company,3,Y,N,Domestic,0
1.8,48,M,married,17,personal,3,Y,N,Domestic,904
1.6,45,M,married,17,personal,3,Y,N,Domestic,0
1.8,44,M,married,17,government,3,Y,N,Domestic,0
2,41,M,married,17,personal,3,Y,N,Imported,0
